en         150829
und         14698
in           6665
ja           2209
es           2042
ar           1715
tl           1598
pt           1225
zh           1147
tr            734
hi            674
fr            639
th            595
el            591
ru            549
fa            519
et            434
ko            404
it            273
de            257
nl            222
ht            205
ur            147
ca            128
pl            110
cy            110
ne            104
fi            100
da             98
sv             90
ro             79
no             66
uk             63
eu             58
lt             57
hu             49
cs             48
iw             31
lv             30
is             28
ml             21
sl             15
ps             14
vi             13
te             12
pa             11
ta              7
bg              7
si              6
gu              6
mr              5
nothing         4
my              3
am              3
ug              2
sr              1
Name: language, dtype: int64
