p_30_34_yrs, m_75_79_yrs, m_5_9_yrs, p_45_54_yrs_pc, m_tot, f_70_74_yrs, m_50_54_yrs, p_0_4_yrs, f_50_54_yrs, gccsa_name_2011, f_20_24_yrs, pop_density, f_75_79_yrs, p_15_19_yrs, f_55_59_yrs, p_med_age, year, p_75_79_yrs, p_10_14_yrs, f_10_14_yrs, f_45_49_yrs, f_35_39_yrs, p_50_54_yrs, p_20_24_yrs, f_30_34_yrs, p_85_yrs_plus_pc, m_45_49_yrs, p_15_24_yrs_pc, m_med_age, p_70_74_yrs, p_45_49_yrs, m_65_69_yrs, f_60_64_yrs, p_40_44_yrs, m_85_yrs_and_over, p_55_64_yrs_pc, m_15_19_yrs, f_40_44_yrs, m_70_74_yrs, m_0_4_yrs, internet_access_tot_connected_pc, f_25_29_yrs, p_tot_wrk_age_pop_pc, p_75_84_yrs_pc, p_35_39_yrs, m_30_34_yrs, m_35_39_yrs, spk_lang_oth_eng_pc, p_35_44_yrs_pc, p_25_29_yrs, m_40_44_yrs, p_80_84_yrs, p_55_59_yrs, p_65_74_yrs_pc, p_0_14_yrs_pc, f_85_yrs_and_over, f_80_84_yrs, p_tot, m_20_24_yrs, m_60_64_yrs, p_5_9_yrs, m_55_59_yrs, f_5_9_yrs, p_25_34_yrs_pc, p_85_yrs_and_over, m_10_14_yrs, f_0_4_yrs, f_tot, f_15_19_yrs, m_80_84_yrs, p_60_64_yrs, gccsa_code_2011, m_25_29_yrs, f_65_69_yrs, p_65_69_yrs
394019,53046,155583,13.0,2399534,77829,155261,324619,159229,"Greater Sydney",172882,391.4,60907,293259,143036,36,"2014",113953,278885,135403,159369,175291,314490,351580,197387,1.9,155351,13.3,35,151602,314720,103177,123316,353057,32233,10.8,150882,178692,73773,166995,null,196110,67.8,4.1,349471,196632,174180,null,14.5,390355,174365,85402,280187,7.5,18.7,59384,48480,4840628,178698,117558,302548,137151,146965,16.2,91617,143482,157624,2441094,142377,36922,240874,"1GSYD",194245,106813,209990
147604,45016,88247,13.3,1332298,61733,93006,161174,95412,"Rest of NSW",78264,3.4,48771,174016,91848,42,"2014",93787,169932,82567,85015,75555,188418,161845,74150,2.5,82902,12.5,41,122109,167917,79752,84758,173651,24759,13.2,89520,88192,60376,82858,null,73244,62.2,6.1,148684,73454,73129,null,12.0,149375,85459,68496,183111,10.5,18.8,42883,38133,2677844,83581,85117,171720,91263,83473,11.1,67642,87365,78316,1345546,84496,30363,169875,"1RNSW",76131,78736,158488
363119,49799,137319,13.0,2193542,72713,138358,289077,143674,"Greater Melbourne",167365,444.5,58125,266229,129217,36,"2014",107924,248362,121363,150029,158650,282032,340476,181462,1.9,145571,13.7,35,139516,295600,91735,112005,326226,30220,10.5,136287,165632,66803,148447,null,187188,68.3,4.3,316631,181657,157981,null,14.5,374173,160594,81364,251872,7.4,18.2,53004,46381,4440328,173111,104038,268621,122655,131302,16.6,83224,126999,140630,2246786,129942,34983,216043,"2GMEL",186985,98104,189839
77164,22869,46363,13.6,696996,31558,48866,86004,50263,"Rest of Vic.",38224,6.4,24257,91719,48617,42,"2014",47126,87834,42786,46358,40122,99129,79384,39020,2.5,44983,12.2,41,62525,91341,41881,45695,91745,12870,13.5,47615,46978,30967,44265,null,38294,62.4,5.9,79095,38144,38973,null,12.2,76653,44767,35072,97038,10.4,18.8,22252,19549,1401339,41160,45922,89376,48421,43013,11.0,35122,45048,41739,704343,44104,15523,91617,"2RVIC",38359,41514,83395
173832,22556,77850,12.9,1130385,34691,71359,155227,73586,"Greater Brisbane",88619,143.7,25198,151101,64718,35,"2014",47754,140626,68533,75070,79329,144945,179497,86760,1.6,73658,14.5,34,67794,148728,48241,57467,167063,12579,10.5,77139,84461,33103,79712,null,91017,67.9,3.6,157237,87072,77908,null,14.3,182334,82602,34318,127347,7.3,19.6,23314,19638,2274560,90878,55009,151043,62629,73193,15.7,35893,72093,75515,1144175,73962,14680,112476,"3GBRI",91317,49104,97345
157949,32525,85390,13.5,1222527,46762,83785,161753,85590,"Rest of Qld",77060,1.4,33693,158813,77744,39,"2014",66218,160333,77844,82133,77081,169375,156363,79556,1.8,80108,12.9,38,94120,162241,64346,69151,173423,16403,12.0,81336,87437,47358,82786,null,79648,64.7,4.6,152136,78393,75055,null,13.3,159026,85986,45743,154398,9.0,19.9,27004,24862,2447887,79303,70351,165880,76654,80490,12.9,43407,82489,78967,1225360,77477,20881,139502,"3RQLD",79378,62861,127207
90292,17161,38678,13.5,641824,24884,43270,78616,45145,"Greater Adelaide",46780,400.5,20401,81812,42243,39,"2014",37562,73357,35730,44236,41098,88415,95018,44869,2.5,43284,13.6,38,47169,87520,31325,38220,89990,11296,11.9,41652,45309,22285,40366,null,46600,66.3,5.1,82225,45423,41127,null,13.2,94986,44681,28899,81822,8.6,17.5,21025,16556,1304631,48238,35103,75852,39579,37174,14.2,32321,37627,38250,662807,40160,12343,73323,"4GADE",48386,34127,65452
20855,6637,12144,13.9,193716,9113,14179,22205,13618,"Rest of SA",8901,0.4,6886,22965,13202,44,"2014",13523,23720,11508,12385,10102,27797,19479,10255,2.6,12913,11.1,43,18459,25298,12586,12793,24394,3676,14.0,11961,12080,9346,11593,null,10002,61.8,6.1,20511,10600,10409,null,11.8,20518,12314,9820,27171,11.3,18.2,6141,5281,381083,10578,13544,23568,13969,11424,10.9,9817,12212,10612,187367,11004,4539,26337,"4RSAU",10516,12060,24646
161527,21510,65161,13.0,1011824,31391,63968,134243,65832,"Greater Perth",74668,314.9,24570,129799,58786,35,"2014",46080,118108,57898,67219,69135,129800,153306,78444,1.6,66392,14.0,35,61462,133611,42306,51499,145296,11537,10.7,66814,72346,30071,68481,null,83861,68.4,3.9,139860,83083,70725,null,14.1,174081,72950,32739,115027,7.3,18.8,21100,18763,2021203,78638,49541,126997,56241,61836,16.6,32637,60210,65762,1009379,62985,13976,101040,"5GPER",90220,43284,85590
41249,5946,19338,14.2,289815,8430,20805,37468,18291,"Rest of WA",14682,0.2,6081,31986,16859,37,"2014",12027,35939,17857,18102,18010,39096,32062,18850,1.3,21114,11.6,37,17055,39216,12849,13960,41573,2900,11.9,16779,19174,8625,19400,null,19232,67.2,3.7,38411,22399,20401,null,14.5,42057,22399,8134,36047,7.5,20.3,4495,4425,552186,17380,15676,38507,19188,19169,15.1,7395,18082,18068,262371,15207,3709,29636,"5RWAU",22825,11479,24328
