educ_training_tot, gcc_code16, hlth_care_soc_tot, gcc_name16, acom_food_scs_tot, artrecreattot, infon_med_tel_tot, prof_sci_tec_tot
99607,"1RNSW",158555,"Rest of NSW",86995,13706,9913,50141
182770,"1GSYD",263351,"Greater Sydney",151831,37955,63423,223708
53513,"2RVIC",88708,"Rest of Vic.",43530,9192,6273,25977
182653,"2GMEL",253104,"Greater Melbourne",137055,43509,45902,191289
98669,"3GBRI",141121,"Greater Brisbane",69836,16227,14956,84646
93333,"3RQLD",135571,"Rest of Qld",86450,17366,10283,48870
12050,"4RSAU",19121,"Rest of SA",10610,1326,952,4138
52423,"4GADE",91299,"Greater Adelaide",39067,8809,8679,37334
81359,"5GPER",113247,"Greater Perth",59412,15838,10153,66361
19521,"5RWAU",22551,"Rest of WA",14977,2596,1283,7689
10010,"6GHOB",14645,"Greater Hobart",7762,2235,1843,5889
10079,"6RTAS",16000,"Rest of Tas.",8758,1775,1079,4319
3794,"7RNTE",4585,"Rest of NT",2178,692,239,1005
5711,"7GDAR",6739,"Greater Darwin",4686,1453,759,4622
19629,"8ACTE",21297,"Australian Capital Territory",13391,3586,3625,19287
159,"9OTER",109,"Other Territories",251,74,15,48
