gcc_code16, p_tot_tot, p_tot_pd, p_tot_id_ns, p_tot_gd_gc, gcc_name16, p_tot_bd, p_tot_cert, p_tot_add_d
"9OTER",1335,63,124,46,"Other Territories",259,630,220
"8ACTE",149895,27619,3792,10453,"Australian Capital Territory",54226,31984,21811
"7RNTE",19827,1399,1487,945,"Rest of NT",4794,8174,3030
"7GDAR",48723,3985,2201,2146,"Greater Darwin",12790,20076,7523
"6RTAS",70717,3332,3823,2236,"Rest of Tas.",15007,35725,10596
"6GHOB",65228,6428,2492,3296,"Greater Hobart",18658,25019,9334
"5RWAU",143989,4822,8007,4613,"Rest of WA",29397,75097,22046
"5GPER",622406,54850,24900,26509,"Greater Perth",198031,215181,102938
"4RSAU",90371,2537,5521,2557,"Rest of SA",16683,48751,14328
"4GADE",388573,36053,14335,16388,"Greater Adelaide",118527,138554,64709
"3RQLD",666057,33771,31500,21266,"Rest of Qld",153532,313437,112545
"3GBRI",721503,70525,25734,30983,"Greater Brisbane",225729,249413,119131
"2RVIC",394456,19713,20209,18731,"Rest of Vic.",90013,178376,67408
"2GMEL",1477105,186841,55071,75131,"Greater Melbourne",521227,392519,246323
"1RNSW",720873,41674,34361,23893,"Rest of NSW",164755,338892,117301
"1GSYD",1605537,232116,64344,54442,"Greater Sydney",583239,411695,259708
