text,language,longitude,latitude,retweet_count,favorite_count,user_id,user_location,followers_count,friends_count,is_retweet,is_quote,tweet_created_at
Just posted a photo @ Melbourne  Victoria  Australia ,en,144.9661,-37.8156,0,0,325942903,melbourne,45.0,64.0,False,False,2021-05-12 08:18:26
Just posted a photo @ Melbourne  Victoria  Australia ,en,144.9661,-37.8156,0,0,114615846,melbourne,43.0,139.0,False,False,2021-05-12 08:19:11
#art #model #style #lutruwita #palawa #beauty #shortshorts @ Lutruwita ,in,146.35037562,-41.17591706,0,0,26142994,nothing,254.0,2939.0,False,False,2021-05-12 08:19:23
At the #spiralfromthebookofsaw preview screening with my support worker @ Event Cinemas Brisbane Myer Centre ,en,153.02529915,-27.47060577,0,0,45096173,australia,394.0,582.0,False,False,2021-05-12 08:20:58
Our editor @libbytparker is hanging with fellow women in music tonight at @thelab_adl for their Women in Music even… ,en,138.59253,-34.92558,0,0,1359268410,adelaide ,1256.0,1224.0,False,False,2021-05-12 08:22:11
#Repost @indieshortsmag with @make_repost ・・・ #ShortFilmReview: While The Cat's Away...: The Mice Will Play!. ⠀ ⠀ R… ,en,144.9661,-37.8156,0,0,114615846,melbourne,43.0,139.0,False,False,2021-05-12 08:23:07
Just posted a photo @ Newcastle Awabakal ,en,151.66831685,-32.948894800000005,0,0,33755341,newcastle,736.0,685.0,False,False,2021-05-12 08:23:10
Nearly finished @ Townsville  North Queensland ,en,146.67795042,-19.24587799,0,0,1287257755917545472,townsville,9.0,27.0,False,False,2021-05-12 08:23:40
speechless #speechless #speechlessplaces #sydney #sweethome @ Point Piper  New South Wales  Australia ,en,151.25,-33.8667,0,0,198649564,huechuraba,75.0,142.0,False,False,2021-05-12 08:25:11
Star Wars Kid #lucasfilms #starwars @ The Death Star ,en,144.95522421,-37.81842747,0,0,239317000,melbourne,670.0,124.0,False,False,2021-05-12 08:25:45
Western Ring Rd  (M80)  Sunshine North - lanes closed Altona bound  The left lane is closed on the EJ… ,en,144.83594294,-37.748423,0,0,18147028,victoria,115386.0,106.0,False,False,2021-05-12 08:27:02
Just posted a photo @ Gold Coast  Queensland ,en,153.3921,-28.0183,0,0,218373052,gold coast,2296.0,1858.0,False,False,2021-05-12 08:27:29
I'm a Mandalorian now! Grogu is with me!  #stevennorth #thechild #grogu #starwars @ Perth  Western Australia ,en,115.858,-31.9513,0,0,4024955232,perth,220.0,90.0,False,False,2021-05-12 08:27:33
If we can’t do anything to help them with your hand. At least help them with your dua. 🤍🤲🏻💚  #freepalestine… ,en,151.20797,-33.86751,0,0,59527429,nothing,692.0,168.0,False,False,2021-05-12 08:27:55
Ready for more Jeep sunsets 🌄 . . . #jeep #jeepwranglerjk #jeepsunsets #sunset_pics #oıııııııo @ Melbourne  Victori… ,en,144.9661,-37.8156,0,0,1304655972233670657,melbourne,124.0,940.0,False,False,2021-05-12 08:30:01
🙏🏽 @ Gadigal Land ,ht,151.213494,-33.858546999999994,0,0,135098211,sydney & └a,437.0,142.0,False,False,2021-05-12 08:30:05
Current #weather in #Narangba  Patchy rain possible with a #temperature of 20 degrees celsius. Keep track of the we… ,en,152.9667,-27.2,0,0,1124226109464293376,nothing,326.0,11.0,False,False,2021-05-12 08:30:14
Just posted a photo @ Canberra  Australian Capital Territory ,en,149.124,-35.3081,0,0,2390159292,australia,1565.0,821.0,False,False,2021-05-12 08:34:29
The mighty @alixbeattie cooking up #pierogi ... love that #polishheritage #foodie #beattakis #beatakisadventures @… ,en,151.25453635,-33.91977736,0,0,41492184,sydney,6312.0,5265.0,False,False,2021-05-12 08:34:34
free #speechless #speechlessplaces #sydney #sweethome #free @ Point Piper  New South Wales  Australia ,en,151.25,-33.8667,0,0,198649564,huechuraba,75.0,142.0,False,False,2021-05-12 08:34:59
🤩🤩🤩Have a bit of spice in your life - Calamarata with Gorgonzola  chili   Nduja and Walnuts 😋🧀 🌶 🇦🇺🇮🇹 @ Caffé e Cuc… ,en,144.99526,-37.84021,0,0,218342970,melbourne,385.0,447.0,False,False,2021-05-12 08:36:45
Humpday tins #conTINue #tinnytime #piratestats #beeroclock Cheers all 😎👍🏿🖤💛❤🇦🇺🍻🌙😁 - Drinking a West Coast IIPA by… ,en,146.006,-36.014,0,0,169459139,nothing,2361.0,1997.0,False,False,2021-05-12 08:37:40
Just posted a photo @ The Industrique ,en,144.95219,-37.73197,0,0,19597885,nothing,256.0,1845.0,False,False,2021-05-12 08:37:54
While the Cat’s Away... has nabbed her first film festival selection! Thank you @stkildafilmfest  . . .… ,en,144.9661,-37.8156,0,0,114615846,melbourne,43.0,139.0,False,False,2021-05-12 08:38:15
